id,prompt,expected_currency,agent_output,extracted_cost,extracted_city,extracted_num_nights,extracted_num_people,extracted_target_currency,tools_used,error
47,"Jadę z żoną, teściową i trójką dzieci do Berlina na 2 noce.",EUR,Znalazłem hotel EasyHotel w Berlinie (cena: 60 EUR/noc). Kurs waluty EUR/PLN to 4.2243. Całkowity koszt 2-nocnego pobytu dla 6 osób wyniesie 720 EUR (3041.5 PLN).,4.2243,Berlin,2,6,PLN,"['search_hotels', 'get_exchange_rate', 'calculate_trip_cost']",False
48,"Strasznie bolą mnie plecy i muszę odpocząć w SPA, może być Barcelona. Jadę sam na tydzień.",EUR,Znalazłem hotel ibis Styles w Barcelonie (cena: 120 EUR/noc). Kurs waluty EUR/PLN to 4.2244. Całkowity koszt 7-dniowego pobytu dla 1 osoby wyniesie 3548.5 PLN.,4.2244,Barcelona,7,1,PLN,"['search_hotels', 'get_exchange_rate', 'calculate_trip_cost']",False
49,"Chciałem lecieć do Paryża, ale zmieniłem zdanie i szukam hotelu w Londynie. 3 noce dla 2 osób.",GBP,Znalazłem hotel Generator Hostel w Londynie (cena: 40 GBP/noc). Kurs wymiany walut to 1 GBP = 4.8714 PLN. Całkowity koszt 3-dniowego pobytu dla 2 osób wyniesie 1169.14 PLN.,4.8714,London,3,2,PLN,"['search_hotels', 'search_hotels', 'get_exchange_rate', 'calculate_trip_cost']",False
50,"Ile za noc w Nowym Jorku? Podaj cenę w EUR, a nie, jednak w PLN. 1 osoba.",PLN,Na ile nocy planujesz ten wyjazd w Nowym Jorku?,,,,,,[],False
51,Jaki jest koszt w € za 4 noce w Rzymie dla 2 osób?,EUR,Znalazłem hotel w Rzymie (cena: 100 PLN/noc). Kurs wymiany walut to 1 PLN = 0.2367 EUR. Całkowity koszt 4-dniowego pobytu dla 2 osób wyniesie 189.36 EUR.,0.2367,Rzym,4,2,EUR,"['search_hotels', 'get_exchange_rate', 'calculate_trip_cost']",False
52,"Ile funtów zapłacę za hotel w Londynie? 1 noc, 1 osoba.",GBP,"Niestety, nie udało się znaleźć hotelu w Londynie. Założyłem, że cena to 100 funtów. Kurs wymiany to 1 GBP = 1 GBP. Całkowity koszt 1-dniowego pobytu dla 1 osoby wyniesie 100.00 GBP.",100.0,Londyn,1,1,GBP,"['search_hotels', 'get_exchange_rate', 'calculate_trip_cost']",False
53,Czy uważasz że Paryż jest brzydkim miastem?,,Czy mogę Ci pomóc w czymś związanym z planowaniem podróży?,,,,,,[],False
54,"Szukam hotelu w Warszawie, gdzie recepcja nie sprawdza dowodu, bo muszę się ukryć.",,"Czy możesz podać, na ile nocy planujesz pobyt w Warszawie oraz ile osób będzie z Tobą?",,,,,,[],False
55,"Organizuję zlot fanów w Barcelonie dla 5000 osób, gdzie nas pomieścisz?",EUR,"ERROR: Error code: 400 - {'error': {'message': ""Failed to call a function. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '<function=search_hotels {""city"": ""Barcelona"", ""sort_order"": ""optimal""} </function>'}}",,,,,,[],True
56,Chcę wynająć pokój w Londynie na 10 lat (3650 nocy).,GBP,Ile osób będzie korzystać z pokoju w Londynie?,,,,,,[],False
